errvel,t,vel
2.6185763931846813,0.4178300719757,1.5342945301344497
2.3829789283429874,0.5331638213274981,4.4455914730631285
2.1702024550026957,0.8271710658300124,2.72775289168417
1.5176243122418096,2.8563341496051775,6.690277745579511
2.0707204806429513,3.8092066087386356,4.087803043492486
1.4789192489096212,9.862557845036857,-2.5946179920201997
1.8828518508145315,10.606504759630885,-4.248271636696259
1.6825757662372887,11.967561937414795,-3.897751340510675
2.1158726494416444,13.297677126673612,-7.054544076691799
1.3744044399031972,14.392949950964029,-4.268486794115075
1.8804888839876979,15.072769846928713,-8.293498846997757
2.560070649576325,15.345291493458591,-5.993834003755928
2.992880627191941,20.35554275479967,2.8865729915394294
2.1075185749447303,22.97387468027803,7.166109488303167
2.259481544007289,23.7663251954232,8.252276018555234
2.358021831573714,25.55671216557388,11.390831227789977
2.1184232780572185,32.34586081742661,-7.527027253330149
1.6089111058205692,35.333083915322106,-13.747457883730009
1.9187215625490681,36.77447324476499,-14.883736227516408
1.9862908223551197,36.81804938162389,-16.783565922440204
1.9767041296589594,41.38349921331067,-4.776933487685546
2.0638462213043556,43.63769959159989,2.2215353082658806
1.859176793038482,43.66568335235925,2.613919311723119
1.8656452438273727,48.015725516537,10.71768373367368
2.6741597064958955,48.62256054316541,16.79057973256557
1.9280492214998366,49.355829676851556,14.902763512440748
2.2630946598676354,50.69838620910196,13.370990177137047
2.471838793362995,51.75279180420523,13.013814987580325
2.472925257709784,56.72151867953451,-0.6420041006474841
1.9487269693861977,59.92338394317653,-15.644403564837562
1.0026586273130573,66.13118891824243,-5.392547672449932
1.6029644021240155,68.3460212101908,0.5844538817365819
1.6948171908661829,69.57631817608866,3.2322486793562937
1.1482415218861535,71.20003705527596,6.872456234983504
2.5258668586173862,72.5856645552989,12.156400055128191
2.607949408548553,72.8398571282129,7.038933224407739
2.430347347062508,73.22156246482768,7.5047954461243265
1.5387397114049504,75.02423326737822,6.304775790745034
1.0912384733199905,76.11880820816953,6.95483579242131
1.9617879801063287,76.9707780816691,1.6466048312373864
2.9299788330953467,78.90875610378913,3.187817545177722
1.7953771738154658,79.56484271111867,-3.348084180960608
2.2073521305305746,80.56693832975846,-4.494246345335421
2.243275726110321,80.83998025991774,-4.772058025677611
1.4944317879859512,87.69521438569726,-3.756660954085614
2.2391449352010335,88.75571987516777,2.4068185271542344
2.368645537240563,88.75792483140545,0.2990468740777448
2.0028655732963023,90.72978319817659,0.174759772778029
1.6785099862681745,92.22248694255853,4.313254496269617
2.219483234738426,93.41163108668466,7.150850438179627
